Country_name,Country_code,Avg_mig,Health_exp,Consum_exp,National_incP.C,National_inc,Prim_enrol_rate,Current_accbal,Employers_total,Employment_serv,Employment_indus,Employment_agri,Expense,GDP_growth,Hightech_exports,HIV_incidence,Labor_particip_rate,Life_expect_birth,Pop_total,Pop_density,Pop_slums,Tax_revenue,Tech_grants,Lit_rate15_24,S&P_equityindex,Reg_business,migration
Iraq,IRQ,-231472.3125,4.422325,46.569725,0,0,87.7535,2.124375,0,45.254175,13.8625,11.008325,6.4184,6.972825,30250,0,43.2975,68.33765,25095060.15,57.46215,36.1125,0.228375,251422125,0.4643,0,8.145825,2
Ireland,IRL,118205.25,4.8623,70.360075,2.083025,3.446575,96.130475,-1.46965,5.604575,64.666675,26.754175,19.71265,35.234,4.724975,23488916533,0,67.250425,77.8334,4026185.315,58.444175,0,24.888575,0,0,3.272433333,3,3
Israel,ISR,248460.8125,1.8364,41.947425,1.78435,3.3402,73.16445,0.530275,0,73.1971,23.915825,23.109375,42.364375,4.549625,4593519140,0,62.0996,79.37575,6496898.214,300.226175,0,25.933175,37732833.33,0,7.707966667,3.75,3
Jamaica,JAM,-97624.25,6.603375,82.797525,-1.132125,-0.970525,70.3852,-7.593,2.5955,61.051975,17.9408,25.037525,32.540225,1.4993,1491067.937,0.2367,73.1525,73.1111,2588121.911,241.270275,45.375,24.5665,31925208.33,0.267075,0.836,4.53205,2
Jordan,JOR,214234.25,5.826525,95.1048,1.180225,4.738025,72.562525,-6.254,5.2234,57.090825,15.642475,15.604525,29.35455,5.88425,45183144.12,0,43.16125,72.056925,5105660.185,57.78435,12.5,19.83255,106038250,0.7498,9.8501,6.91025,3
Kazakhstan,KAZ,-447842.9375,7.865025,88.607725,2.300775,2.557025,73.67025,-1.44585,1.049375,37.69535,13.41785,18.599925,11.2708,3.2957,767483830.2,0.01,76.55,66.6366,15650135.51,5.797,0,9.88045,65684250,0.5003,-12.73363333,6.766025,1
Kenya,KEN,-377.5,4.010825,75.0154,1.222,4.028975,56.650225,-4.58675,0,24.15,5.025,40.327775,18.82885,3.61935,35720754.62,1.1908,68.5525,54.94245,33057322.15,58.08295,54.85,16.740375,187752333.3,0.740175,12.67913333,9.72115,2
Kiribati,KIR,-2286.5,5.632275,80.418925,0,0,49.380075,-4.73195,1.4875,58.616675,7.29165,6.316675,16.63165,1.22915,125094.6667,0,0,63.85935,88605.9107,109.390025,0,4.3875,9938458.333,0,0,5.14745,2
Kuwait,KWT,99838,0.931075,65.5568,0.3459,1.6866,87.674175,15.2725,0.4375,74.91,23.2975,31.5158,48.065675,7.558425,22629011.38,0,68.36125,73.40705,2280946.994,127.999275,0,0.529725,1887583.333,0.98965,4.668066667,9.65385,3
Kyrgyz,KGZ,-155037.6875,3.642725,75.677575,1.293225,2.17135,70.5769,-6.699075,0.83125,41.1474,17.01355,30.016625,19.7817,0.6349,10593684.75,0.01165,69.9796,68.098925,5000985.119,26.07395,0,14.309525,53632166.67,0.500475,0,5.53845,2
Lao PDR,LAO,-118355.625,5.3784,70.267975,2.643825,3.468325,77.455475,-3.549075,0.308325,11.7375,3.825,37.4125,6.037425,6.845625,0,0,82.55,59.878675,5472911.256,23.712775,53.4875,6.62875,74778833.33,0.86105,0,6.97755,2
Latvia,LVA,-93704.5,6.4679,42.752175,4.273175,3.35,48.8913,-5.873875,2.673675,45.925225,19.685775,27.4874,44.052075,3.447,189348395,0.05415,72.118325,70.512275,2323932.893,37.363975,0,20.195825,0,0.50035,3.853433333,3.65385,2
Lebanon,LBN,327998.25,6.4527,58.792175,3.8578,6.695975,69.86555,-12.92845,5.475,0,0,7.19005,21.651275,7.2922,38313952.93,0.01,48.4325,75.17215,3652636.768,357.0515,39.825,11.259325,90698916.67,0.503225,10.78553333,6.47115,3
