ID,cf_td,ca_cl,re_ta,ni_ta,td_ta,s_ta,wc_ta,wc_s,c_cl,cl_e,in_s,mve_td,bstatus
47,-0.181793318,1.075237948,-0.280248414,-0.196712955,0.853373217,0.941978165,0.043748845,0.046443587,0.030933297,-3.694399298,0.133772595,0.150580925,1
48,0.193595965,0.756226921,0.119977974,0.016890044,0.354960594,0.380537176,-0.07603933,-0.199821028,0.004107561,1.099564447,0.206353946,1.075678381,1
49,-0.690151275,1.035409225,-0.923219348,-0.405022276,0.546953654,0.805126425,0.026384308,0.032770392,7.77E-04,5.374791319,0.418469278,0.892097747,1
50,-0.341060092,0.777297042,0.031687223,-0.238336665,0.330180861,0.862087457,-0.138010042,-0.160088215,0.001022656,1.656286645,0.263684687,4.750775137,1
51,-0.231903485,0.895025103,-0.548838511,-0.166526728,0.417576266,2.435768262,-0.064371676,-0.026427669,0.048379735,3.116642959,0.116511548,0.954164209,1
52,-1.071285543,0.554717587,-0.528498428,-0.586281447,0.490762579,1.969339623,-0.545400943,-0.276946108,0.02182285,-5.447552448,0.224451098,2.103724469,1
53,-0.8359447,1.518485122,-0.767341663,-0.58250754,0.467470918,1.089185696,0.247738044,0.227452532,0.330928765,1.768740032,0.363528481,0.474078341,1
54,-0.022640131,1.366086374,0.062446859,-0.050637695,0.517430326,1.32668871,0.206613132,0.155735954,0.038165383,2.862482032,0.390657267,0.168157751,1
55,-0.382156089,0.445043103,-0.323058684,-0.299614701,0.495969176,2.61959099,-0.24422051,-0.093228489,0.130792026,2.228091237,0.043253946,0.313801841,1
56,0.041493316,0.782840723,-0.271003749,-0.241607021,0.768021472,2.506390593,-0.090149966,-0.035968044,0.037253695,-3.227558794,0.009994901,0.182989405,1
57,-0.764099152,0.764233502,-0.416738485,-0.482332663,0.575600881,1.995020588,-0.219285646,-0.109916483,0.006383198,-8.790045249,0.183690122,0.501185327,1
58,-0.330809327,0.533062015,4.47E-04,-0.287080423,0.690535014,1.359782331,-0.379983813,-0.279444588,0.060339977,6.806537811,0.102365905,0.120385078,1
59,-0.105523599,0.717904318,-0.20843973,-0.154422521,0.711001117,3.573970857,-0.10335733,-0.028919467,0.081099646,-3.137437141,0.03583244,0.129081858,1
60,-0.51489071,0.423912458,-0.39394881,-0.547325902,0.852914903,1.957431934,-0.415077485,-0.212052066,0.034014339,-5.184740078,0.062343744,0.06454918,1
61,0.119544592,1.733853797,-0.59495549,-0.171117705,0.130316518,0.915677547,0.255687438,0.279233054,0.120652945,0.534724858,0.129084526,2.734345351,1
62,-4.281879195,1.308447937,-1.135299219,-0.586296618,0.129228101,0.499566349,0.136166522,0.272569444,0.561886051,0.892982456,0.0625,5.954697987,1
63,-0.098594977,0.676942924,-5.850971966,-0.153021304,1.24938682,2.803093264,-0.395941864,-0.141251763,0.059011296,-0.830649815,0.019033156,0.102330456,1
64,0.638418079,3.24742268,-1.174091142,0.005632361,0.0906298,1.034306196,0.446492575,0.431683168,0.146907216,0.25729443,0.111386139,86.76836158,1
65,-0.148386686,0.705844624,-3.541210996,-0.341862118,1.441708508,1.831785772,-0.252355733,-0.137764872,0.055052246,-0.801520831,0.058037223,0.019032012,1
66,0.067258107,0.533403422,-0.082954151,-0.017024181,0.602526434,1.045269978,-0.370233143,-0.354198581,0.027547412,6.504067207,0.054592227,0.12178957,1
67,-0.078077613,1.424542282,-0.348677524,-0.338919883,0.729880514,2.449845278,0.2005963,0.081881212,0.058607008,-2091.9,0.233842267,0.120884137,1
68,0.509667003,0.940184377,-0.531060322,0.095142557,0.303936475,1.69048937,-0.035132163,-0.020782244,0.066227673,-1.41694172,0.108103703,0.240100368,1
69,0.311333794,1.549960968,0.323002909,0.02293578,0.323786082,1.651823674,0.15764153,0.095434842,0.105386417,0.661673554,0.215659713,1.407828265,1
70,-0.146709478,1.386639465,-0.337983077,-0.354250807,0.820106285,0.294610108,0.021251328,0.072133736,0.069445571,-0.450646176,0.092274089,0.096595548,1
71,-0.248607411,0.46223565,-0.607666171,-0.478657889,0.876831599,1.378955192,-0.226799745,-0.164472164,0.007301108,-1.655,0.008470009,0.256024461,1
72,-0.092204449,0.371296906,-0.936240065,-0.140251058,0.807992275,0.931530862,-0.156057342,-0.167527828,0.203902089,-10.04146635,0.006315185,0.467778912,1
73,-4.107615894,1.513302034,-5.889273356,-2.223183391,0.522491349,0.223183391,0.283737024,1.27131783,0.006259781,1.713136729,0.678294574,62.68584437,1
